20mW_0mM_TEMPO_T1_Time_s,20mW_0mM_TEMPO_T1_Frame,20mW_0mM_TEMPO_T1_Intensity,20mW_0mM_TEMPO_T2_Time_s,20mW_0mM_TEMPO_T2_Frame,20mW_0mM_TEMPO_T2_Intensity,30mW_0mM_TEMPO_T1_Time_s,30mW_0mM_TEMPO_T1_Frame,30mW_0mM_TEMPO_T1_Intensity,30mW_0mM_TEMPO_T2_Time_s,30mW_0mM_TEMPO_T2_Frame,30mW_0mM_TEMPO_T2_Intensity,30mW_0mM_TEMPO_T3_Time_s,30mW_0mM_TEMPO_T3_Frame,30mW_0mM_TEMPO_T3_Intensity,40mW_0mM_TEMPO_T1_Time_s,40mW_0mM_TEMPO_T1_Frame,40mW_0mM_TEMPO_T1_Intensity,40mW_0mM_TEMPO_T2_Time_s,40mW_0mM_TEMPO_T2_Frame,40mW_0mM_TEMPO_T2_Intensity,20mW_1mM_TEMPO_T1_Time_s,20mW_1mM_TEMPO_T1_Frame,20mW_1mM_TEMPO_T1_Intensity,20mW_1mM_TEMPO_T2_Time_s,20mW_1mM_TEMPO_T2_Frame,20mW_1mM_TEMPO_T2_Intensity,30mW_1mM_TEMPO_T1_Time_s,30mW_1mM_TEMPO_T1_Frame,30mW_1mM_TEMPO_T1_Intensity,30mW_1mM_TEMPO_T2_Time_s,30mW_1mM_TEMPO_T2_Frame,30mW_1mM_TEMPO_T2_Intensity,40mW_1mM_TEMPO_T1_Time_s,40mW_1mM_TEMPO_T1_Frame,40mW_1mM_TEMPO_T1_Intensity,40mW_1mM_TEMPO_T2_Time_s,40mW_1mM_TEMPO_T2_Frame,40mW_1mM_TEMPO_T2_Intensity,20mW_5mM_TEMPO_T1_Time_s,20mW_5mM_TEMPO_T1_Frame,20mW_5mM_TEMPO_T1_Intensity,20mW_5mM_TEMPO_T2_Time_s,20mW_5mM_TEMPO_T2_Frame,20mW_5mM_TEMPO_T2_Intensity,30mW_5mM_TEMPO_T1_Time_s,30mW_5mM_TEMPO_T1_Frame,30mW_5mM_TEMPO_T1_Intensity,30mW_5mM_TEMPO_T2_Time_s,30mW_5mM_TEMPO_T2_Frame,30mW_5mM_TEMPO_T2_Intensity,40mW_5mM_TEMPO_T2_Time_s,40mW_5mM_TEMPO_T2_Frame,40mW_5mM_TEMPO_T2_Intensity
0,0,0.091705307,0,0,0.10303967,0,0,0.077794951,0,0,0.085007728,0,0,0.069551777,0,0,5.374549201,0,0,0.058217414,0,0,0.122102009,0,0,0.142709943,0,0,0.070066976,0,0,0.17825863,0,0,0.416280268,0,0,0.072642968,0,0,0.096702068,0,0,0.102291783,0,0,0.07490218,0,0,0.073784237,0,0,0.350850077
0.029195987,1,0.944358578,0.055506217,1,1.075734158,0.02762024,1,0.664605873,0.05634114,1,0.443070582,0.02777572,1,0.695517774,0.028955293,1,5.810407007,0.026371694,1,0.66872746,0.027599912,1,0.688304997,0.027450406,1,0.95620814,0.05524048,1,0.644513138,0.027671192,1,1.186501803,0.026566305,1,1.281813498,0.16682625,1,0.079855744,0.111973068,1,0.098937954,0.055510325,1,1.602571269,0.027876896,1,0.210732253,0.025602968,1,0.383454444,0.027014858,1,1.659969088
0.057269052,2,2.728490469,0.084369449,2,2.889747553,0.08396553,2,3.992787223,0.083959346,2,1.979392066,0.054440412,2,2.372488408,0.059068798,2,6.32818135,0.081312724,2,3.732612056,0.057407816,2,2.147861927,0.054900813,2,2.561051005,0.08286072,2,2.29057187,0.055342385,2,2.832045337,0.055346469,2,3.063369397,0.415408411,2,3.155589902,0.166861827,2,3.337618781,0.084375694,2,3.257685858,0.083630687,2,2.613750699,0.082374768,2,3.169927334,0.084421432,2,3.232354456
0.084219194,3,4.071097372,0.112122558,3,4.118495621,0.11048096,3,3.866563627,0.110472824,3,3.866563627,0.082216132,3,3.900566718,0.086865879,3,6.977846471,0.10988206,3,3.76249356,0.111503643,3,3.436888202,0.110899641,3,3.344667697,0.138101201,3,3.055126224,0.083013577,3,3.14374034,0.137259243,3,3.051519835,0.581129852,3,3.118495621,0.251390515,3,3.645612074,0.112130856,3,3.507546115,0.111507583,3,3.166014533,0.110204082,3,3.219675797,0.112561909,3,3.221535291
0.112292259,4,4.111798042,0.14098579,4,4.046367852,0.138101201,4,3.85935085,0.139195758,4,4.000515198,0.11221391,4,3.934054611,0.115821172,4,7.721277692,0.136253754,4,3.849562081,0.140207551,4,3.366306028,0.165800454,4,3.431736218,0.165721441,4,3.058217414,0.138355962,4,3.100978877,0.193712641,4,3.18134982,0.719231053,4,3.1561051,0.306279274,4,3.557853549,0.168751388,4,3.518166574,0.139384478,4,3.27724986,0.164749536,4,3.196757965,0.169968483,4,3.179289026
0.141488247,5,4.032457496,0.168738899,5,4.129314786,0.165721441,5,3.887171561,0.166813964,5,3.911385884,0.138878602,5,3.954147347,0.144776465,5,8.473467285,0.163724269,5,3.75940237,0.196511371,5,3.441524987,0.195446893,5,3.382277177,0.193341681,5,3.150437919,0.166027155,5,3.065430191,0.220278946,5,3.207624936,0.966708404,5,3.274085523,0.333723653,5,3.580771381,0.19650655,5,3.572386808,0.195138269,5,3.212968139,0.19257885,5,3.15371716,0.196983341,5,3.156620299
0.169561312,6,4.037094281,0.197602131,6,4.136527563,0.19444649,6,3.883565173,0.222050376,6,3.970118496,0.165543293,6,3.928902628,0.17488997,6,9.415249871,0.191194784,6,3.8124678,0.224111283,6,3.546625451,0.250347705,6,3.43431221,0.25079178,6,3.169500258,0.193698347,6,3.048428645,0.275625415,6,3.163317877,1.049569124,6,3.522926327,0.389710187,6,3.712129681,0.254237288,6,3.520961431,0.250892061,6,3.045835662,0.221521336,6,3.254332029,0.223998199,6,3.344152499
0.198757299,7,4.129829985,0.253108348,7,4.097372488,0.220961921,7,3.852653272,0.249668582,7,3.911385884,0.222205763,7,3.893353941,0.202687051,7,10.35703246,0.246135814,7,3.912931479,0.279311106,7,3.478619268,0.277798111,7,3.34672849,0.276202401,7,3.163833076,0.22136954,7,3.137042761,0.304405579,7,3.187017002,1.104809604,7,3.807315817,0.417154567,7,3.637786473,0.283102657,7,3.540525433,0.280999108,7,3.204583566,0.248237477,7,3.190609279,0.281404773,7,3.148377125
0.226830364,8,4.057187017,0.281971581,8,4.198866564,0.249686971,8,3.839773313,0.277286787,8,4.001030397,0.276646174,8,3.987120041,0.231642344,8,11.53889748,0.301076844,8,4.292117465,0.308015014,8,3.529108707,0.305248518,8,3.345182895,0.331442881,8,3.191138588,0.249040732,8,3.078310149,0.332078813,8,3.112313241,1.133534654,8,4.023699124,0.473141101,8,3.610955841,0.337502776,8,3.545556177,0.306645852,8,3.231414198,0.303896104,8,3.19843488,0.30954525,8,3.282843895
0.256026351,9,4.107676455,0.309724689,9,4.082946935,0.303822641,9,3.841318908,0.303800265,9,4.011334364,0.304421895,9,4.04997424,0.28955293,9,14.1251932,0.328547359,9,4.57496136,0.363214838,9,3.456465739,0.362345363,9,3.379185987,0.360167931,9,3.152498712,0.276711924,9,3.082431736,0.386318353,9,3.117980422,1.242910805,9,5.307573416,0.53022541,9,3.685858021,0.367478351,9,3.493571828,0.362399643,9,3.160424818,0.33283859,9,3.219675797,0.364700585,9,3.157135497
0.284099416,10,4.076249356,0.339698046,10,4.147861927,0.360167931,10,3.991756826,0.332523199,10,4.005667182,0.332197615,10,4.229778465,0.318508223,10,15.73312725,0.356017874,10,4.758371973,0.391918746,10,3.404430706,0.389795769,10,3.361669243,0.386683362,10,3.164863472,0.305489965,10,3.088098918,0.442771751,10,3.186501803,1.326876335,10,6.696032973,0.584016393,10,3.697596423,0.421878469,10,3.54667412,0.41926851,10,3.133035215,0.359554731,10,3.221911683,0.393966682,10,3.266872746
0.312172481,11,4.014940752,0.36634103,11,4.061308604,0.386683362,11,4.24678001,0.387759611,11,4.251416795,0.361084364,11,4.29984544,0.376418809,11,19.31530139,0.383488389,11,5.174137043,0.420622654,11,3.412158681,0.443598565,11,3.394641937,0.414303602,11,3.104585265,0.359725502,11,3.027305513,0.497011291,11,3.250901597,1.381012006,11,8.119526018,0.612558548,11,3.67411962,0.450743838,11,3.465623253,0.44603033,11,3.269424259,0.415213358,11,3.173281163,0.423232778,11,3.192684183
0.341368468,12,4.119526018,0.421847247,12,4.141679547,0.414303602,12,4.3436373,0.415377817,12,4.441524987,0.416635805,12,4.847501288,0.405374102,12,21.33384853,0.438429419,12,6.211746522,0.447118569,12,3.396187532,0.472146988,12,3.432766615,0.441923842,12,3.090159711,0.387396694,12,3.044307058,0.525791455,12,3.137042761,1.466082345,12,10.625966,0.641100703,12,3.698714366,0.50736437,12,3.491335942,0.473907226,12,3.307434321,0.444155844,12,3.206819452,0.478388113,12,3.266357548
0.369441533,13,4.134981968,0.45071048,13,4.251931994,0.441923842,13,4.673364245,0.442996023,13,4.577537352,0.444411525,13,5.14374034,0.434329395,13,23.3735188,0.465899934,13,6.723853684,0.503422389,13,3.491499227,0.5270478,13,3.313755796,0.469544082,13,3.120041216,0.416174734,13,3.107161257,0.581137923,13,3.135497166,1.493702585,13,11.61463163,0.695989461,13,3.646730017,0.535119532,13,3.517607602,0.529661017,13,3.173840134,0.470871985,13,3.121855785,0.506528591,13,3.248840804
0.399760443,14,4.117465224,0.507326821,14,4.368366821,0.497164322,14,5.158681092,0.497127707,14,5.080886141,0.472187245,14,5.416795466,0.463284688,14,25.51519835,0.493370449,14,7.439979392,0.532126297,14,3.400309119,0.555596223,14,3.382277177,0.525889372,14,3.108191654,0.442739079,14,3.0937661,0.607704228,14,3.18134982,1.574353686,14,15.30602782,0.75307377,14,3.668529905,0.590629857,14,3.537730576,0.557537913,14,3.183901621,0.528756957,14,3.19116825,0.562809545,14,3.173621844
