20mW_0mM_TEMPO_T1_Time_s,20mW_0mM_TEMPO_T1_Intensity,20mW_0mM_TEMPO_T2_Time_s,20mW_0mM_TEMPO_T2_Intensity,30mW_0mM_TEMPO_T1_Time_s,30mW_0mM_TEMPO_T1_Intensity,30mW_0mM_TEMPO_T2_Time_s,30mW_0mM_TEMPO_T2_Intensity,30mW_0mM_TEMPO_T3_Time_s,30mW_0mM_TEMPO_T3_Intensity,40mW_0mM_TEMPO_T1_Time_s,40mW_0mM_TEMPO_T1_Intensity,40mW_0mM_TEMPO_T2_Time_s,40mW_0mM_TEMPO_T2_Intensity,20mW_1mM_TEMPO_T1_Time_s,20mW_1mM_TEMPO_T1_Intensity,20mW_1mM_TEMPO_T2_Time_s,20mW_1mM_TEMPO_T2_Intensity,30mW_1mM_TEMPO_T1_Time_s,30mW_1mM_TEMPO_T1_Intensity,30mW_1mM_TEMPO_T2_Time_s,30mW_1mM_TEMPO_T2_Intensity,40mW_1mM_TEMPO_T1_Time_s,40mW_1mM_TEMPO_T1_Intensity,40mW_1mM_TEMPO_T2_Time_s,40mW_1mM_TEMPO_T2_Intensity,20mW_5mM_TEMPO_T1_Time_s,20mW_5mM_TEMPO_T1_Intensity,20mW_5mM_TEMPO_T2_Time_s,20mW_5mM_TEMPO_T2_Intensity,30mW_5mM_TEMPO_T1_Time_s,30mW_5mM_TEMPO_T1_Intensity,30mW_5mM_TEMPO_T2_Time_s,30mW_5mM_TEMPO_T2_Intensity,40mW_5mM_TEMPO_T2_Time_s,40mW_5mM_TEMPO_T2_Intensity
0,0.095311695,0,0.092220505,0,0.075734158,0,0.066975786,0,0.074188563,0,0.070066976,0,0.065945389,0,0.100463679,0,0.112313241,0,0.083462133,0,0.072642968,0,0.063369397,0,0.075218959,0,0.105086641,0,0.102291783,0,0.071548351,0,0.072666294,0,0.075734158
0.025,0.111282844,0.003,0.105100464,0.025,0.072642968,0.025,0.072642968,0.025,0.080886141,0.025,0.070582174,0.024,0.067490984,0.025,0.112313241,0.025,0.108706852,0.026,0.070066976,0.025,0.060278207,0.025,0.064914992,0.026,0.072642968,0.026,0.095584125,0.024,0.103409726,0.025,0.068194522,0.025,0.081609838,0.024,0.086038125
0.05,0.114374034,0.018,0.0937661,0.051,0.070582174,0.05,0.060793405,0.05,0.078310149,0.049,0.065945389,0.049,0.072127769,0.049,0.091190108,0.05,0.116950026,0.051,0.070066976,0.05,0.077279753,0.053,0.070066976,0.05,0.077279753,0.052,0.094466182,0.049,0.083845724,0.05,0.081050866,0.05,0.070430408,0.05,0.060278207
0.076,0.098402885,0.044,0.112313241,0.075,0.085522926,0.076,0.077794951,0.076,0.05924781,0.076,0.062854199,0.074,0.069551777,0.075,0.098918083,0.075,0.102524472,0.075,0.068521381,0.074,0.070582174,0.075,0.078825348,0.075,0.071612571,0.076,0.118501956,0.076,0.088317496,0.075,0.064840693,0.075,0.077138066,0.074,0.058732612
0.101,0.089129315,0.069,0.107161257,0.1,0.086038125,0.101,0.070582174,0.1,0.081916538,0.1,0.074188563,0.099,0.072127769,0.1,0.098402885,0.101,0.095826893,0.1,0.078825348,0.1,0.076249356,0.1,0.05615662,0.1,0.061823802,0.101,0.121296814,0.102,0.09726104,0.1,0.076579094,0.1,0.071548351,0.1,0.063369397
0.127,0.105615662,0.094,0.111798042,0.125,0.070582174,0.125,0.065945389,0.125,0.080370943,0.125,0.062339001,0.124,0.074703761,0.125,0.093250902,0.126,0.119010819,0.127,0.085007728,0.125,0.074188563,0.125,0.065430191,0.125,0.078310149,0.127,0.096143097,0.126,0.09726104,0.125,0.084404695,0.125,0.067076579,0.124,0.065945389
0.152,0.102009274,0.12,0.103554869,0.15,0.083977331,0.15,0.0937661,0.15,0.079340546,0.149,0.087068521,0.149,0.086553323,0.152,0.105100464,0.151,0.115404431,0.15,0.076764554,0.15,0.078310149,0.151,0.081916538,0.15,0.068006182,0.153,0.098378983,0.151,0.097820011,0.15,0.06372275,0.15,0.083286752,0.149,0.08140134
0.178,0.095826893,0.145,0.085522926,0.175,0.069551777,0.175,0.081916538,0.175,0.079855744,0.174,0.060278207,0.174,0.067490984,0.176,0.104070067,0.176,0.092735703,0.175,0.076249356,0.174,0.071097372,0.175,0.071612571,0.175,0.077794951,0.178,0.097820011,0.176,0.11626607,0.175,0.065958636,0.176,0.068194522,0.176,0.064914992
0.203,0.089129315,0.171,0.104585265,0.2,0.083977331,0.2,0.091705307,0.2,0.081916538,0.2,0.063369397,0.199,0.079340546,0.201,0.097372488,0.202,0.10922205,0.2,0.071612571,0.2,0.076249356,0.2,0.067490984,0.2,0.086038125,0.203,0.086640581,0.202,0.091112353,0.2,0.068194522,0.2,0.073784237,0.201,0.062339001
0.229,0.098402885,0.196,0.102524472,0.225,0.065430191,0.225,0.072127769,0.225,0.078310149,0.225,0.055641422,0.224,0.076764554,0.226,0.106646059,0.228,0.111798042,0.226,0.091190108,0.225,0.072642968,0.225,0.057702215,0.225,0.069551777,0.228,0.114589156,0.228,0.088317496,0.225,0.079932923,0.226,0.073225266,0.225,0.073673364
