sample,power_mw,tempo_mm,trial,folder,frame_count,fps_est,roi_radius_px,circle_radius_px,led_on_ref_s,led_off_s,led_off_detected,detected_led_duration_s,time_scale_to_15s,first_plotted_time_s,last_plotted_time_s,max_intensity,t_30pct_max_s,t_90pct_max_s,peak_Rp_intensity_per_s,t_peak_Rp_s,smoothed_inflection_time_s,smoothed_inflection_intensity
20mW_0mMTEMPO,20,0,1,20mW_0mMTEMPO_T1,564,38.462,25,124.333,1.347,14.705,True,13.358,1.12292,0.0,15.0,234.3117,1.824,4.333,120.1325,1.824,2.081,98.3591
20mW_0mMTEMPO,20,0,2,20mW_0mMTEMPO_T2,507,37.037,25,124.494,1.314,14.826,True,13.512,1.11012,0.0,15.0,235.6079,1.776,4.228,114.1762,1.945,2.086,105.4685
30mW_0mMTEMPO,30,0,1,30mW_0mMTEMPO_T1,356,20.408,25,123.61,1.325,14.902,True,13.577,1.10481,0.0,15.0,230.6698,1.491,3.481,160.1727,1.519,3.591,186.8349
30mW_0mMTEMPO,30,0,2,30mW_0mMTEMPO_T2,448,20.408,25,124.493,1.85,15.428,True,13.578,1.10473,0.0,15.0,228.592,1.437,3.371,131.8859,1.796,2.074,139.8839
30mW_0mMTEMPO,30,0,3,30mW_0mMTEMPO_T3,445,20.408,25,124.455,1.851,15.352,True,13.501,1.11103,0.0,15.0,222.1324,1.361,3.361,125.8176,1.471,2.111,143.0198
40mW_0mMTEMPO,40,0,1,40mW_0mMTEMPO_T1,384,20.408,25,124.549,0.725,13.676,True,12.951,1.15821,0.0,15.0,207.3838,0.869,2.693,129.8347,0.869,2.114,168.6092
40mW_0mMTEMPO,40,0,2,40mW_0mMTEMPO_T2,452,20.408,25,124.35,1.6,15.251,True,13.651,1.09882,0.0,15.0,196.4214,1.18,2.828,140.7157,1.043,2.004,144.8336
20mW_1mMTEMPO,20,1,1,20mW_1mMTEMPO_T1,441,20.408,25,123.88,1.82,15.407,True,13.587,1.104,0.0,15.0,214.1669,3.101,5.838,89.4744,5.029,3.826,120.6567
20mW_1mMTEMPO,20,1,2,20mW_1mMTEMPO_T2,400,20.0,25,124.132,1.72,15.381,True,13.661,1.09802,0.0,15.0,198.3004,2.973,5.806,127.566,5.972,3.167,75.5927
30mW_1mMTEMPO,30,1,1,30mW_1mMTEMPO_T1,507,20.619,25,124.313,1.55,15.127,True,13.577,1.10481,0.0,15.0,190.5317,2.321,4.614,112.8136,2.433,2.652,85.8158
30mW_1mMTEMPO,30,1,2,30mW_1mMTEMPO_T2,428,20.408,25,124.359,2.075,15.627,True,13.552,1.10685,0.0,15.0,189.8897,2.269,4.484,137.8491,2.63,2.435,74.5584
40mW_1mMTEMPO,40,1,1,40mW_1mMTEMPO_T1,423,20.0,25,124.461,2.176,15.727,True,13.551,1.10693,0.0,15.0,188.6574,1.882,3.736,163.3939,14.779,2.159,90.3659
40mW_1mMTEMPO,40,1,2,40mW_1mMTEMPO_T2,265,19.608,25,124.49,0.55,14.127,True,13.577,1.10481,0.0,15.0,187.3993,2.155,4.117,156.8998,5.885,2.68,110.2729
20mW_5mMTEMPO,20,5,1,20mW_5mMTEMPO_T1,372,20.0,24,118.214,2.337,16.001,True,13.664,1.09778,0.0,15.0,219.7557,8.059,12.436,80.0847,14.386,9.367,113.8334
20mW_5mMTEMPO,20,5,2,20mW_5mMTEMPO_T2,451,20.0,24,118.396,2.133,15.644,True,13.511,1.11021,0.0,15.0,214.9966,7.951,12.068,76.731,11.898,7.556,51.2642
30mW_5mMTEMPO,30,5,1,30mW_5mMTEMPO_T1,406,20.0,24,121.915,1.55,15.002,True,13.452,1.11508,0.0,15.0,208.0777,5.939,9.62,117.9224,7.388,7.054,105.9612
30mW_5mMTEMPO,30,5,2,30mW_5mMTEMPO_T2,388,20.408,24,122.208,2.027,15.502,True,13.475,1.11317,0.0,15.0,203.8882,5.76,9.099,148.0066,9.85,7.458,138.4418
40mW_5mMTEMPO,40,5,2,40mW_5mMTEMPO_T2,390,20.408,25,123.042,1.425,14.751,True,13.326,1.12562,0.0,15.0,200.3442,4.587,7.598,147.6852,9.399,6.697,162.088
