20mW_0mM_TEMPO_T1_Time_s,20mW_0mM_TEMPO_T1_Frame,20mW_0mM_TEMPO_T1_OffsetROI_Intensity,20mW_0mM_TEMPO_T1_CenterROI_Intensity,20mW_0mM_TEMPO_T2_Time_s,20mW_0mM_TEMPO_T2_Frame,20mW_0mM_TEMPO_T2_OffsetROI_Intensity,20mW_0mM_TEMPO_T2_CenterROI_Intensity,20mW_0mM_TEMPO_T3_Time_s,20mW_0mM_TEMPO_T3_Frame,20mW_0mM_TEMPO_T3_OffsetROI_Intensity,20mW_0mM_TEMPO_T3_CenterROI_Intensity,20mW_0mM_TEMPO_T4_Time_s,20mW_0mM_TEMPO_T4_Frame,20mW_0mM_TEMPO_T4_OffsetROI_Intensity,20mW_0mM_TEMPO_T4_CenterROI_Intensity,20mW_0mM_TEMPO_T5_Time_s,20mW_0mM_TEMPO_T5_Frame,20mW_0mM_TEMPO_T5_OffsetROI_Intensity,20mW_0mM_TEMPO_T5_CenterROI_Intensity,20mW_5mM_TEMPO_T1_Time_s,20mW_5mM_TEMPO_T1_Frame,20mW_5mM_TEMPO_T1_OffsetROI_Intensity,20mW_5mM_TEMPO_T1_CenterROI_Intensity,20mW_5mM_TEMPO_T2_Time_s,20mW_5mM_TEMPO_T2_Frame,20mW_5mM_TEMPO_T2_OffsetROI_Intensity,20mW_5mM_TEMPO_T2_CenterROI_Intensity,20mW_5mM_TEMPO_T3_Time_s,20mW_5mM_TEMPO_T3_Frame,20mW_5mM_TEMPO_T3_OffsetROI_Intensity,20mW_5mM_TEMPO_T3_CenterROI_Intensity
0,0,418.4358209,407.6056996,0,0,393.0746269,388.8325158,0,0,285.2408889,306.7657089,0,0,359.721393,358.1443588,0,0,286.9333333,293.0941369,0,0,290.4517413,292.6352186,0,0,228.6965174,210.2879723,0,0,252.9910448,255.1187948
0.05,1,851.2636816,818.2723663,0.049,1,829.0069652,861.0885307,0.05,1,814.7911111,826.2480729,0.049,1,854.4955224,840.3756132,0.05,1,787.3432836,812.1205326,0.05,1,805.4129353,813.9728328,0.05,1,807.9761194,800.2963695,0.05,1,804.3303483,811.4398617
0.1,2,835.7412935,829.1408549,0.1,2,825.3930348,832.3550572,0.1,2,857.7137778,847.7122168,0.1,2,824.6288557,835.0759168,0.1,2,763.9084577,786.7432843,0.1,2,801.3850746,828.8150161,0.1,2,834.2288557,802.3037787,0.1,2,799.2039801,811.7362312
0.15,3,812.0517413,826.8161644,0.149,3,871.0368159,867.4608736,0.151,3,891.0506667,876.6512497,0.15,3,835.5343284,836.5970568,0.152,3,782.6626866,810.3302967,0.2,3,842.2208955,823.3776241,0.15,3,816.238806,819.5682885,0.15,3,803.040796,812.1195357
0.2,4,826.1094527,816.7587012,0.2,4,812.5771144,851.2553142,0.201,4,792.2346667,837.5762672,0.2,4,808.7084577,831.0955384,0.2,4,802.2288557,820.5260453,0.25,4,809.679602,813.9925908,0.2,4,804.7283582,808.2983453,0.199,4,818.5950249,795.0605088
0.25,5,847.8567164,830.4975473,0.249,5,808.358209,841.0371409,0.25,5,841.5288889,850.6199486,0.25,5,837.9701493,829.7724831,0.25,5,828.9273632,836.5783695,0.35,5,814.4716418,834.4025685,0.25,5,845.8348259,821.0896518,0.25,5,794.6666667,802.1970857
0.301,6,854.6865672,822.9740715,0.3,6,852.3303483,847.831815,0.3,6,830.8195556,850.4816632,0.299,6,858.6666667,846.5648213,0.3,6,873.1860697,876.3036674,0.45,6,829.1343284,802.3077303,0.299,6,797.6597015,813.5776735,0.3,6,807.8646766,815.0950852
0.351,7,860.5293532,826.6143424,0.35,7,883.2636816,866.2349918,0.35,7,813.696,830.9161411,0.35,7,848.9393035,827.3356692,0.35,7,964.1233831,947.8047185,0.55,7,817.8945274,827.281798,0.35,7,809.2338308,822.8441591,0.349,7,797.7074627,794.6534947
0.401,8,813.19801,839.3851904,0.401,8,944,902.7498248,0.4,8,899.0151111,872.8913805,0.399,8,864.7641791,871.7888344,0.4,8,1049.647761,1043.075917,0.65,8,825.2656716,832.9641887,0.4,8,807.5144279,820.9276365,0.399,8,838.8776119,823.7490738
0.451,9,861.5323383,867.1581406,0.449,9,902.00199,930.933894,0.45,9,885.9306667,919.9682317,0.45,9,888.5492537,929.6743751,0.451,9,1171.486567,1130.861014,0.7,9,830.2169154,827.175105,0.45,9,813.3253731,800.5137071,0.45,9,810.9054726,819.8211904
0.5,10,866.5154229,894.9647279,0.501,10,1009.576119,1000.222378,0.5,10,960.1706667,958.2882504,0.499,10,994.8497512,984.2784396,0.5,10,1278.057711,1281.502453,0.75,10,848.6527363,837.524327,0.5,10,800.0318408,816.252902,0.499,10,823.1164179,808.3694739
0.551,11,962.0378109,946.8965195,0.55,11,1056.748259,1068.722261,0.55,11,1041.28,1029.288484,0.55,11,1082.157214,1084.479327,0.552,11,1453.962189,1462.181733,0.8,11,820.6328358,818.4895036,0.55,11,806.7343284,819.2600642,0.55,11,802.7383085,808.1916523
0.6,12,1041.878607,1030.682551,0.601,12,1192.071642,1204.57837,0.6,12,1153.777778,1184.967998,0.599,12,1220.600995,1182.232189,0.6,12,1677.707463,1641.451997,0.85,12,829.3094527,825.7406767,0.6,12,796.0039801,804.8881205,0.599,12,817.5761194,811.2106693
0.65,13,1119.426866,1118.247139,0.649,13,1283.789055,1305.590283,0.65,13,1268.608,1252.398972,0.65,13,1325.070647,1318.899323,0.65,13,1879.705473,1895.863583,0.9,13,806.7024876,819.3193381,0.649,13,832.3820896,823.8557669,0.65,13,826.6507463,814.6446036
0.701,14,1246.439801,1226.524644,0.699,14,1518.599005,1476.638169,0.7,14,1480.348444,1467.829012,0.699,14,1484.370149,1485.10348,0.702,14,2191.20398,2172.976407,0.95,14,828.6885572,832.9207212,0.7,14,832.5731343,830.2771055,0.7,14,798.3283582,802.9202272
0.751,15,1382.575124,1378.507825,0.75,15,1696.222886,1713.87246,0.752,15,1644.615111,1664.549404,0.749,15,1765.826866,1689.586545,0.75,15,2502.224876,2488.925018,1,15,833.8467662,830.087429,0.75,15,823.6258706,810.388738,0.75,15,797.3412935,816.233144
0.8,16,1568.254726,1563.690726,0.8,16,1936.270647,1989.73324,0.8,16,1887.232,1898.098575,0.8,16,1980.513433,1933.312777,0.802,16,2882.276617,2855.112357,1.05,16,827.7810945,810.7127686,0.8,16,821.6517413,817.6478143,0.8,16,799.3631841,809.4166461
0.85,17,1780.823881,1752.977342,0.849,17,2226.451741,2252.509227,0.85,17,2145.678222,2192.433544,0.85,17,2210.929353,2219.515067,0.85,17,3293.436816,3261.30904,1.101,17,815.7293532,812.2696962,0.85,17,828.1154229,811.8389726,0.85,17,794.7621891,810.4717214
0.9,18,2024.485572,1988.735342,0.899,18,2592.987065,2627.759869,0.9,18,2492.629333,2532.555945,0.899,18,2562.770149,2536.469049,0.902,18,3718.447761,3765.25111,1.2,18,829.0865672,822.7335144,0.899,18,816.9870647,819.2679674,0.9,18,801.8626866,818.8332922
0.95,19,2327.514428,2272.904462,0.949,19,3119.092537,3113.762205,0.95,19,3127.921778,3101.092268,0.95,19,2957.5801,2903.964494,0.951,19,4342.352239,4294.222845,1.25,19,814.6945274,805.4927143,0.95,19,788.9512438,823.6858484,0.95,19,819.5661692,817.6399111
1,20,2679.769154,2621.013782,0.999,20,3330.117413,3461.826676,1,20,3292.728889,3374.714319,0.999,20,3338.41194,3353.06704,1,20,4886.336318,4872.715721,1.3,20,825.2975124,807.7451223,0.999,20,805.5721393,806.3423067,1,20,803.8368159,817.9639417
1.05,21,3033.99801,2961.816398,1.049,21,3864.071642,4001.001635,1.051,21,3824.739556,3892.421397,1.05,21,3801.456716,3812.925952,1.051,21,5523.900498,5562.195749,1.35,21,801.878607,818.145715,1.05,21,802.1333333,824.0533465,1.05,21,820.6328358,809.4522104
1.101,22,3523.852736,3400.431675,1.1,22,4373.731343,4575.387059,1.1,22,4335.132444,4472.431675,1.1,22,4326.845771,4366.475123,1.1,22,6147.693532,6176.52698,1.4,22,827.8129353,830.2889602,1.1,22,804.4577114,814.8777476,1.099,22,816.6049751,801.2842677
1.15,23,4057.233831,3907.311376,1.15,23,4954.332338,5240.962392,1.15,23,4765.368889,4999.75146,1.15,23,4947.024876,4962.533987,1.152,23,6781.564179,6841.829479,1.45,23,834.2925373,830.4233144,1.149,23,823.4348259,811.7678439,1.149,23,820.2189055,818.1299086
1.2,24,4553.249751,4407.856108,1.201,24,5867.367164,6094.004205,1.2,24,5589.845333,5762.440551,1.199,24,5519.331343,5611.877599,1.2,24,7573.237811,7700.858678,1.5,24,815.5383085,821.2872314,1.2,24,810.0457711,817.2487034,1.2,24,797.7552239,813.0560632
1.25,25,5099.000995,4979.722495,1.249,25,6264.581095,6615.72156,1.25,25,6107.150222,6501.785564,1.251,25,6178.324378,6338.122868,1.252,25,8328.00796,8472.371876,1.55,25,796.4179104,808.3181032,1.25,25,812.3860697,815.5100025,1.25,25,786.1174129,813.9175105
1.3,26,5685.906468,5571.386125,1.301,26,7054.041791,7484.180332,1.3,26,6743.082667,7256.031768,1.3,26,6959.570149,7040.220509,1.3,26,9185.082587,9293.406214,1.6,26,847.7930348,823.1207706,1.3,26,822.7502488,822.5043221,1.3,26,836.3781095,816.5018523
1.35,27,6453.779104,6267.339407,1.349,27,7627.048756,8180.342911,1.35,27,7632.497778,8197.57253,1.351,27,7699.040796,7860.937164,1.35,27,9933.962189,10130.36954,1.65,27,831.761194,826.8076068,1.35,27,825.20199,821.7811805,1.35,27,828.9751244,818.572487
1.4,28,7142.049751,6950.577902,1.399,28,8514.356219,9155.247839,1.402,28,8457.230222,9167.921514,1.4,28,8374.957214,8673.790236,1.401,28,10852.8398,11043.52067,1.7,28,814.9014925,826.3808348,1.399,28,816.4457711,803.8962707,1.4,28,806.6865672,810.8194616
1.452,29,7895.753234,7660.527914,1.449,29,9276.768159,9834.42747,1.451,29,9055.047111,9800.581173,1.449,29,9077.667662,9455.540294,1.45,29,11689.61592,11859.44966,1.8,29,800.2865672,816.1541121,1.45,29,833.799005,825.4324525,1.45,29,770.1174129,800.3872561
1.5,30,8730.093532,8444.083158,1.5,30,10111.09254,10735.20766,1.5,30,10324.89244,11110.02476,1.5,30,10018.14925,10473.60897,1.5,30,12379.04876,12696.64845,1.85,30,807.6736318,825.9540627,1.5,30,833.6238806,829.9728328,1.5,30,819.3432836,800.6915288
1.551,31,9465.488557,9233.782761,1.551,31,11091.8209,12102.66386,1.55,31,10886.88356,12021.32586,1.549,31,10984.77214,11447.55338,1.55,31,13281.25771,13484.55408,2.1,31,815.5701493,834.932082,1.55,31,801.8945274,800.2924179,1.549,31,807.1004975,804.0306248
1.6,32,10337.60796,10021.82668,1.6,32,11880.61294,13079.40762,1.6,32,11552.82489,12644.84373,1.599,32,11716.90348,12203.29082,1.602,32,14060.65672,14365.97057,3.25,32,828.9114428,831.8024204,1.599,32,815.3313433,802.9676463,1.599,32,799.7293532,824.3773771
1.651,33,11080.40597,10853.25111,1.65,33,12874.73035,13805.23055,1.651,33,12553.13067,14052.59706,1.649,33,12568.8995,13125.87526,1.65,33,14865.13035,15129.48563,3.9,33,855.1004975,869.1054581,1.65,33,811.2079602,812.7715485,1.65,33,801.400995,813.5104964
1.701,34,11911.00498,11688.63723,1.699,34,13569.28955,14985.33987,1.7,34,13375.81511,15063.23569,1.699,34,13304.45373,14001.49124,1.7,34,15581.11841,15940.63069,4.2,34,1065.743284,1063.879476,1.699,34,816.5731343,808.8120524,1.7,34,804.2507463,813.8621882
1.75,35,12783.53831,12590.07148,1.75,35,15379.40697,16499.65522,1.75,35,15580.23111,16857.72483,1.749,35,14164.71244,14903.71409,1.75,35,16413.18209,16740.37655,4.3,35,1233.783085,1198.822425,1.75,35,816.0636816,810.7246234,1.75,35,818.9134328,811.2343789
1.801,36,13511.75323,13357.72016,1.8,36,15306.63483,16726.33497,1.8,36,15107.79733,16988.70731,1.8,36,14870.63881,15816.92875,1.801,36,17132.44975,17499.90376,4.7,36,2424.246766,2365.000741,1.8,36,776.1830846,815.5020993,1.799,36,820.2348259,804.7142504
1.85,37,14389.68358,14107.2385,1.849,37,16211.47065,18102.52558,1.85,37,15824.66844,18000.14576,1.85,37,15729.62388,16663.88601,1.85,37,17793.11443,18176.71759,4.9,37,3418.157214,3401.977772,1.85,37,816.1432836,810.1832551,1.849,37,812.8636816,805.5006174
1.901,38,15237.71542,14931.56552,1.899,38,16894.18507,18750.88624,1.9,38,16828.44444,18717.48844,1.9,38,16507.04876,17578.19575,1.902,38,18503.65771,18948.75403,4.95,38,3706.475622,3656.871326,1.9,38,797.1661692,809.6063225,1.9,38,806.0179104,810.9893801
1.95,39,15847.68955,15590.41719,1.949,39,17683.70945,19446.02476,2,39,18278.86933,20544.88577,1.949,39,17243.09652,18426.16585,1.95,39,19206.87761,19643.10021,5.05,39,4391.068657,4286.281057,1.949,39,786.7542289,805.8365028,1.949,39,829.1820896,816.6322549
2,40,16723.72537,16507.88507,1.999,40,19026.45174,20907.758,2.051,40,19053.59644,21382.30133,2,40,18076.92736,19273.13805,2.001,40,19814.00199,20352.82971,5.15,40,5043.61393,4935.464559,2,40,810.2686567,812.2894542,2,40,820.8079602,809.4996295
2.051,41,17731.47065,17384.96239,2.05,41,19014.51144,21379.57673,2.1,41,19590.04444,22558.57977,2.05,41,18659.91642,19986.84046,2.05,41,20426.44378,20967.44499,5.35,41,6525.850746,6408.436651,2.05,41,804.7124378,814.3719437,2.049,41,790.9731343,818.23265
2.101,42,18180.28259,18005.8491,2.099,42,19863.37114,21897.24644,2.15,42,20319.00444,23345.22214,2.099,42,19378.22886,20770.73207,2.101,42,21048.53333,21557.55011,6.05,42,12396.1791,12344.62238,2.1,42,824.9154229,822.0064213,2.1,42,810.841791,828.5186466
2.151,43,18876.51343,18690.94137,2.151,43,20377.37711,22964.94464,2.3,43,23086.91911,25888.7587,2.15,43,19909.87463,21499.39921,2.15,43,21494.43184,22111.38706,6.15,43,13383.54627,13254.42134,2.15,43,796.8477612,799.4388738,2.149,43,826.4437811,809.7643863
2.2,44,19604.58507,19373.71642,2.2,44,20962.14925,23750.47699,2.351,44,22779.27822,26290.42186,2.201,44,20647.35522,22192.79234,2.202,44,21752.05572,22437.03808,6.4,44,15618.72239,15661.94912,2.2,44,816.0477612,811.961472,2.2,44,830.3761194,796.728081
