sample,power_mw,tempo_mm,trial,folder,frame_count,plotted_frame_count,fps_est,crop_size_px,circle_center_row,circle_center_col,offset_roi_center_row,offset_roi_center_col,center_roi_radius_px,offset_roi_radius_px,circle_radius_px,led_on_artifact_s,led_off_s,led_off_detected,led_off_method,raw_led_artifact_duration_s,alignment_duration_s,timestamp_scale_to_30s,first_plotted_time_s,last_plotted_time_s,offset_max_intensity,center_max_intensity,offset_t_30pct_max_s,offset_t_90pct_max_s,offset_peak_Rp_intensity_per_s,offset_t_peak_Rp_s,offset_smoothed_inflection_time_s,offset_smoothed_inflection_intensity,cropped_source_folder,summary_gif
20mW_0mMTEMPO,20,0,1,20mW_0mMTEMPO_T1,511,416,20.0,450,263,390,328,455,37,18,184.587,0.198,27.198,False,led_on_plus_30s,27.0,27.0,1.0,0.0,27.0,37198.5831,37433.4595,1.701,4.3,19934.8356,4.251,2.0,16649.9531,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\cropped_source_data\20mW\0mMTEMPO_T1,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\summary_gifs\20mW_0mM_TEMPO_T1_cropped_2x.gif
20mW_0mMTEMPO,20,0,4,20mW_0mMTEMPO_T4,415,361,19.608,450,264,389,329,454,37,18,184.918,1.65,28.65,False,led_on_plus_30s,27.0,27.0,1.0,0.0,27.049,36594.9612,39077.6398,1.549,4.099,19726.9977,1.549,2.099,19301.7936,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\cropped_source_data\20mW\0mMTEMPO_T4,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\summary_gifs\20mW_0mM_TEMPO_T4_cropped_2x.gif
20mW_0mMTEMPO,20,0,5,20mW_0mMTEMPO_T5,430,372,19.608,450,264,389,329,454,37,18,184.7,0.798,27.798,False,led_on_plus_30s,27.0,27.0,1.0,0.0,27.0,35517.7871,36273.9734,1.401,4.102,43209.5522,3.45,2.05,20289.071,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\cropped_source_data\20mW\0mMTEMPO_T5,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\summary_gifs\20mW_0mM_TEMPO_T5_cropped_2x.gif
30mW_0mMTEMPO,30,0,2,30mW_0mMTEMPO_T2,312,282,10.101,450,263,389,328,454,37,18,184.347,1.351,28.351,False,led_on_plus_30s,27.0,27.0,1.0,0.0,27.001,31320.7403,32970.3751,1.349,3.7,33462.8397,5.051,2.249,20881.2896,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\cropped_source_data\30mW\0mMTEMPO_T2,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\summary_gifs\30mW_0mM_TEMPO_T2_cropped_2x.gif
30mW_0mMTEMPO,30,0,3,30mW_0mMTEMPO_T3,420,273,20.0,450,263,389,328,454,37,18,184.716,1.499,28.499,False,led_on_plus_30s,27.0,27.0,1.0,0.0,27.049,31029.6836,33903.103,1.301,3.6,23839.5224,1.5,2.0,18517.1814,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\cropped_source_data\30mW\0mMTEMPO_T3,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\summary_gifs\30mW_0mM_TEMPO_T3_cropped_2x.gif
30mW_0mMTEMPO,30,0,4,30mW_0mMTEMPO_T4,397,325,19.608,450,264,390,329,455,37,19,185.064,2.299,29.299,False,led_on_plus_30s,27.0,27.0,1.0,0.0,27.0,30686.3218,32676.8176,1.351,3.651,18072.5403,1.801,2.001,18888.8863,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\cropped_source_data\30mW\0mMTEMPO_T4,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\summary_gifs\30mW_0mM_TEMPO_T4_cropped_2x.gif
40mW_0mMTEMPO,40,0,3,40mW_0mMTEMPO_T3,452,323,19.608,450,262,389,327,454,37,18,184.85,1.7,28.7,False,led_on_plus_30s,27.0,27.0,1.0,0.0,27.0,39146.3801,39993.9865,1.15,3.001,38501.2537,5.7,2.15,29767.2322,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\cropped_source_data\40mW\0mMTEMPO_T3,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\summary_gifs\40mW_0mM_TEMPO_T3_cropped_2x.gif
40mW_0mMTEMPO,40,0,4,40mW_0mMTEMPO_T4,437,357,19.608,450,263,390,328,455,37,19,185.151,0.949,27.949,False,led_on_plus_30s,27.0,27.0,1.0,0.0,27.049,40645.0916,44492.4307,1.25,3.249,27563.8044,1.399,2.099,28744.1894,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\cropped_source_data\40mW\0mMTEMPO_T4,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\summary_gifs\40mW_0mM_TEMPO_T4_cropped_2x.gif
20mW_5mMTEMPO,20,5,1,20mW_5mMTEMPO_T1,207,157,10.0,450,264,388,327,451,36,18,180.904,1.6,28.6,False,led_on_plus_30s,27.0,27.0,1.0,0.0,27.05,46724.7761,46887.4527,6.4,9.55,11493.4589,7.35,6.65,18577.6036,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\cropped_source_data\20mW\5mMTEMPO_T1,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\summary_gifs\20mW_5mM_TEMPO_T1_cropped_2x.gif
20mW_5mMTEMPO,20,5,2,20mW_5mMTEMPO_T2,395,308,19.608,450,264,389,328,453,36,18,181.772,1.701,28.701,False,led_on_plus_30s,27.0,27.0,1.0,0.0,27.55,46425.1542,47056.7587,6.251,9.45,15546.1062,6.549,5.849,10309.9759,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\cropped_source_data\20mW\5mMTEMPO_T2,C:\Users\jackr\Desktop\AIE Project\20260728_newcircle_TPEOAc_data_20mW_30mW_40mW_at0mMand5mM_TEMPO\summary_gifs\20mW_5mM_TEMPO_T2_cropped_2x.gif
