time_s,is_control_reporting_time,reference_doc,uniform_full_power_doc,target_full_power_doc,target_full_power_outside_doc,feasibility_deficit,reference_minus_target_full_power,target_full_power_minus_reference,uniform_full_power_minus_reference,uniform_o2_mean,uniform_tempo_mean,uniform_dose_mean,uniform_reaction_progress_mean,o2_target_mean,tempo_target_mean,dose_target_mean,reaction_progress_target_mean,mpc_target_doc,mpc_tracking_error,target_region_control_mean
0,1,0.0113180351899,0,0,0,0.0113180351899,0.0113180351899,-0.0113180351899,-0.0113180351899,27.7116832733,0,0,0,27.7116985321,0,0,0,0,-0.0113180351899,0.98606128597
0.05,0,0.0200837198577,0,0,0,0.0200837198577,0.0200837198577,-0.0200837198577,-0.0200837198577,26.2116832733,0,0,0,26.2226467133,0,0,0,0,-0.0200837198577,0.98606128597
0.1,0,0.0200837198577,0,0,0,0.0200837198577,0.0200837198577,-0.0200837198577,-0.0200837198577,24.7116832733,0,0,0,24.7394618988,0,0,0,0,-0.0200837198577,0.98606128597
0.15,0,0.0200837198577,0,0,0,0.0200837198577,0.0200837198577,-0.0200837198577,-0.0200837198577,23.211687088,0,0,0,23.2605743408,0,0,0,0,-0.0200837198577,0.98606128597
0.2,0,0.0201932585345,0,0,0,0.0201932585345,0.0201932585345,-0.0201932585345,-0.0201932585345,21.711687088,0,0,0,21.7852401733,0,0,0,0,-0.0201932585345,0.98606128597
0.25,0,0.0209394557493,0,0,0,0.0209394557493,0.0209394557493,-0.0209394557493,-0.0209394557493,20.2116889954,0,0,0,20.3130054474,0,0,0,0,-0.0209394557493,0.98606128597
0.3,0,0.0216145177647,0,0,0,0.0216145177647,0.0216145177647,-0.0216145177647,-0.0216145177647,18.7116889954,0,0,0,18.8435554504,0,0,0,0,-0.0216145177647,0.98606128597
0.35,0,0.0231679800993,0,0,0,0.0231679800993,0.0231679800993,-0.0231679800993,-0.0231679800993,17.2116928101,0,0,0,17.3766536713,0,0,0,0,-0.0231679800993,0.98606128597
0.4,0,0.0253930269534,0,0,0,0.0253930269534,0.0253930269534,-0.0253930269534,-0.0253930269534,15.7116918564,0,0,0,15.9121131897,0,0,0,0,-0.0253930269534,0.98606128597
0.45,0,0.0285741570601,0,0,0,0.0285741570601,0.0285741570601,-0.0285741570601,-0.0285741570601,14.2116947174,0,0,0,14.4497833252,0,0,0,0,-0.0285741570601,0.98606128597
0.5,1,0.0317452645613,0,0,0,0.0317452645613,0.0317452645613,-0.0317452645613,-0.0317452645613,12.7116975784,0,0,0,12.9895410538,0,0,0,0,-0.0317452645613,0.98606128597
