event_id,condition_id,trajectory,absolute_time_s,physics_step,row,column,region_n1,inside_target,target_interior_n1,target_boundary_n1,target_interior_n2,target_boundary_n2,target_interior_n4,target_boundary_n4,signed_distance_to_target_boundary_px,local_control,scattered_control,local_intensity_mw_cm2,energy_mj_cm2,o2_before_mj_cm2,o2_diffused_mj_cm2,o2_after_mj_cm2,o2_diffusion_change_mj_cm2,tempo_before_mj_cm2,tempo_diffused_mj_cm2,tempo_after_mj_cm2,tempo_diffusion_change_mj_cm2,inhibitor_sum_before_diffusion_mj_cm2,inhibitor_sum_after_diffusion_mj_cm2,inhibition_sum_exceeds_energy,diffusion_increased_inhibitor_sum,diffusion_created_negative_dose_increment,dose_before_mj_cm2,dose_after_mj_cm2,delta_dose_mj_cm2,dose_equation_increment_mj_cm2,effective_b_per_s,curing_gate,reaction_progress_before,reaction_progress_after,delta_reaction_progress,expected_delta_reaction_progress,reaction_equation_residual,doc_before,doc_after,delta_doc,doc_change_class
1,30mW_5mM,full_power_Lshape,9.3,186,150,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.42087027430534363,12.626108169555664,0.6313053965568542,0.0,0.01553427241742611,0.0,0.01553427241742611,0.019103944301605225,0.6292902827262878,0.0,0.6101863384246826,0.019103944301605225,0.644824555143714,True,True,True,0.0,-0.01351916790008545,-0.01351916790008545,-0.01351916790008545,0.4686201512813568,True,0.0,-0.000501766218803823,-0.000501766218803823,-0.000501766218803823,0.0,0.0,0.0,0.0,unchanged_within_tolerance
2,30mW_5mM,full_power_Lshape,15.0,300,149,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.03453933447599411,0.0,0.03453933447599411,0.0034389495849609375,0.35536161065101624,0.0,0.3519226610660553,0.0034389495849609375,0.38990094512701035,True,True,True,0.0,-0.03140956163406372,-0.03140956163406372,-0.03140956163406372,0.43097180128097534,True,0.0,-0.001888000057078898,-0.001888000057078898,-0.001888000057078898,0.0,0.0,0.0,0.0,unchanged_within_tolerance
3,30mW_5mM,full_power_Lshape,15.0,300,150,151,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.03453933447599411,0.0,0.03453933447599411,0.00343891978263855,0.35536161065101624,0.0,0.3519226908683777,0.00343891978263855,0.38990094512701035,True,True,True,0.0,-0.03140956163406372,-0.03140956163406372,-0.03140956163406372,0.43097180128097534,True,0.0,-0.001888000057078898,-0.001888000057078898,-0.001888000057078898,0.0,0.0,0.0,0.0,unchanged_within_tolerance
4,30mW_5mM,full_power_Lshape,15.05,301,149,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.034403618425130844,0.0,0.034403618425130844,0.0,0.3501316010951996,0.0,0.3501316010951996,0.0,0.38453521952033043,True,True,True,-0.03140956163406372,-0.05745339393615723,-0.026043832302093506,-0.026043832302093506,0.43097180128097534,True,-0.001888000057078898,-0.0034534709993749857,-0.0015654709422960877,-0.0015654709422960877,0.0,0.0,0.0,0.0,unchanged_within_tolerance
5,30mW_5mM,full_power_Lshape,15.05,301,150,151,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.034403618425130844,0.0,0.034403618425130844,0.0,0.350131630897522,0.0,0.350131630897522,0.0,0.3845352493226528,True,True,True,-0.03140956163406372,-0.057453423738479614,-0.026043862104415894,-0.026043862104415894,0.43097180128097534,True,-0.001888000057078898,-0.0034534726291894913,-0.0015654725721105933,-0.0015654726885259151,1.1641532182693481e-10,0.0,0.0,0.0,unchanged_within_tolerance
6,30mW_5mM,full_power_Lshape,15.100000000000001,302,149,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.03426896780729294,0.0,0.03426896780729294,0.0,0.34647729992866516,0.0,0.34647729992866516,0.0,0.3807462677359581,True,True,True,-0.05745339393615723,-0.0797082781791687,-0.022254884243011475,-0.022254884243011475,0.43097180128097534,True,-0.0034534709993749857,-0.004791191779077053,-0.0013377207797020674,-0.0013377206632867455,-1.1641532182693481e-10,0.0,0.0,0.0,unchanged_within_tolerance
7,30mW_5mM,full_power_Lshape,15.100000000000001,302,150,151,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.03426896780729294,0.0,0.03426896780729294,0.0,0.34647729992866516,0.0,0.34647729992866516,0.0,0.3807462677359581,True,True,True,-0.057453423738479614,-0.07970830798149109,-0.022254884243011475,-0.022254884243011475,0.43097180128097534,True,-0.0034534726291894913,-0.004791193176060915,-0.0013377205468714237,-0.0013377206632867455,1.1641532182693481e-10,0.0,0.0,0.0,unchanged_within_tolerance
8,30mW_5mM,full_power_Lshape,15.15,303,149,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.0341353714466095,0.0,0.0341353714466095,0.0,0.3430772125720978,0.0,0.3430772125720978,0.0,0.3772125840187073,True,True,True,-0.0797082781791687,-0.09842947125434875,-0.018721193075180054,-0.018721193075180054,0.43097180128097534,True,-0.004791191779077053,-0.005916505586355925,-0.0011253138072788715,-0.0011253138072788715,0.0,0.0,0.0,0.0,unchanged_within_tolerance
9,30mW_5mM,full_power_Lshape,15.15,303,150,151,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.0341353714466095,0.0,0.0341353714466095,0.0,0.3430771827697754,0.0,0.3430771827697754,0.0,0.3772125542163849,True,True,True,-0.07970830798149109,-0.09842947125434875,-0.018721163272857666,-0.018721163272857666,0.43097180128097534,True,-0.004791193176060915,-0.005916505120694637,-0.0011253119446337223,-0.0011253119446337223,0.0,0.0,0.0,0.0,unchanged_within_tolerance
10,30mW_5mM,full_power_Lshape,15.200000000000001,304,149,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.03400281444191933,0.0,0.03400281444191933,0.0,0.33982470631599426,0.0,0.33982470631599426,0.0,0.3738275207579136,True,True,True,-0.09842947125434875,-0.11376559734344482,-0.01533612608909607,-0.01533612608909607,0.43097180128097534,True,-0.005916505586355925,-0.006838345900177956,-0.000921840313822031,-0.0009218405466526747,2.3283064365386963e-10,0.0,0.0,0.0,unchanged_within_tolerance
