component_id,area_pixels,area_um2,mean_final_doc,p05_final_doc,cured_fraction,undercure_fraction
1,101,5833.76,0.39995010123394503,0.3993237018585205,0.0,1.0
2,202,11667.52,0.40012743478954427,0.3981064110994339,0.0,1.0
3,303,17501.28,0.39995259636699565,0.3940238654613495,0.0,1.0
4,404,23335.04,0.40028629562642315,0.39966100454330444,0.0,1.0
5,505,29168.8,0.4002737024042866,0.3975249886512756,0.0,1.0
6,606,35002.56,0.40028600183257174,0.3993098586797714,0.0,1.0
7,707,40836.32,0.40024887402627557,0.39656627774238584,0.0,1.0
8,808,46670.08,0.4002728375172851,0.3989887863397598,0.0,1.0
9,1313,75838.88,0.40033486070109975,0.39788702726364134,0.0,1.0
10,1818,105007.68,0.40033859889892853,0.3979457914829254,0.0,1.0
11,2323,134176.47999999998,0.4003448744965585,0.3981343567371368,0.0,1.0
12,2828,163345.28,0.4003483786904997,0.39813412129879,0.0,1.0
13,3630,209668.8,0.4003498282478532,0.39814559519290926,0.0,1.0
14,4840,279558.39999999997,0.4003559583597932,0.3981672912836075,0.0,1.0
15,6050,349448.0,0.40035531171097244,0.3982272922992706,0.0,1.0
16,7260,419337.6,0.40035959074976685,0.3983652263879776,0.0,1.0
17,8470,489227.2,0.40035979443767417,0.3985813319683075,0.0,1.0
