component_id,area_pixels,area_um2,mean_final_doc,p05_final_doc,cured_fraction,undercure_fraction
1,1,57.76,0.0,0.0,0.0,1.0
2,9,519.84,0.39768509732352364,0.3868516445159912,0.0,1.0
3,25,1444.0,0.39966022729873657,0.3843760371208191,0.0,1.0
4,49,2830.24,0.3997746864143683,0.38754346370697024,0.0,1.0
5,81,4678.5599999999995,0.40019764797187146,0.3909302353858948,0.0,1.0
6,121,6988.96,0.400390911200815,0.39133721590042114,0.0,1.0
7,169,9761.44,0.4003741469608961,0.39237208366394044,0.0,1.0
8,225,12996.0,0.4004553503460354,0.39267579317092893,0.0,1.0
9,289,16692.64,0.40045335672305943,0.39319753646850586,0.0,1.0
10,361,20851.36,0.4004590582319244,0.3944796919822693,0.0,1.0
11,441,25472.16,0.4004739391830773,0.3947030305862427,0.0,1.0
12,961,55507.36,0.40048870831945066,0.3974151015281677,0.0,1.0
13,1681,97094.56,0.40049467978202324,0.3975468873977661,0.0,1.0
14,2601,150233.76,0.40049670744932236,0.3975644111633301,0.0,1.0
15,3721,214924.96,0.40050010178493445,0.39756739139556885,0.0,1.0
16,5041,291168.16,0.40049945520659425,0.39760756492614746,0.0,1.0
17,19881,1148326.56,0.40050481893989764,0.3984202742576599,0.0,1.0
18,14641,845664.1599999999,0.4005040752253452,0.398410439491272,0.0,1.0
19,10201,589209.76,0.4005028229579658,0.3984032869338989,0.0,1.0
