component_id,area_pixels,area_um2,mean_final_doc,p05_final_doc,cured_fraction,undercure_fraction
1,101,5833.76,0.899984850151704,0.8992941379547119,1.0,0.0
2,202,11667.52,0.8999970236627182,0.899922427535057,1.0,0.0
3,303,17501.28,0.8999836385840236,0.8997133076190948,1.0,0.0
4,404,23335.04,0.8999954813187665,0.8998801231384277,1.0,0.0
5,505,29168.8,0.8999876703366194,0.899831748008728,1.0,0.0
6,606,35002.56,0.8999946432145122,0.899837076663971,1.0,0.0
7,707,40836.32,0.8999936092523739,0.8999112129211426,1.0,0.0
8,808,46670.08,0.8999953918380312,0.8999099940061569,1.0,0.0
9,1313,75838.88,0.8999967936423564,0.8999292612075805,1.0,0.0
10,1818,105007.68,0.8999975130240647,0.8999500900506974,1.0,0.0
11,2323,134176.47999999998,0.8999981661064584,0.8999590456485749,1.0,0.0
12,2828,163345.28,0.8999983824926522,0.8999708503484726,1.0,0.0
13,3630,209668.8,0.8999985219197496,0.8999751806259155,1.0,0.0
14,4840,279558.39999999997,0.8999987709867068,0.8999765515327454,1.0,0.0
15,6050,349448.0,0.8999991429738762,0.8999771475791931,1.0,0.0
16,7260,419337.6,0.8999992011992399,0.8999778598546981,1.0,0.0
17,8470,489227.2,0.8999992548223088,0.8999789357185364,1.0,0.0
