component_id,area_pixels,area_um2,mean_final_doc,p05_final_doc,cured_fraction,undercure_fraction
1,101,5833.76,0.8995128746079927,0.897817075252533,1.0,0.0
2,202,11667.52,0.8999337813641766,0.899238109588623,1.0,0.0
3,303,17501.28,0.9167211022314066,0.8939469516277313,1.0,0.0
4,404,23335.04,0.9464970720876561,0.8980166673660278,1.0,0.0
5,505,29168.8,0.9567728340035618,0.8996962666511535,1.0,0.0
6,606,35002.56,0.9634996321138376,0.8997394144535065,1.0,0.0
7,707,40836.32,0.9685682307881378,0.8997527897357941,1.0,0.0
8,808,46670.08,0.9723471021740744,0.8997583389282227,1.0,0.0
9,1313,75838.88,0.9819810128992782,0.8997611403465271,1.0,0.0
10,1818,105007.68,0.9862629287313707,0.8997611999511719,1.0,0.0
11,2323,134176.47999999998,0.9886879558148591,0.8997613787651062,1.0,0.0
12,2828,163345.28,0.9902474138743469,0.899761438369751,1.0,0.0
13,3630,209668.8,0.9910509754803555,0.8997613191604614,1.0,0.0
14,4840,279558.39999999997,0.9927259239899225,0.8997684448957444,1.0,0.0
15,6050,349448.0,0.9937308912237813,0.8999451071023941,1.0,0.0
16,7260,419337.6,0.9944008502257429,0.9901974141597748,1.0,0.0
17,8470,489227.2,0.9948794171407626,0.9983371496200562,1.0,0.0
