component_id,area_pixels,area_um2,mean_final_doc,p05_final_doc,cured_fraction,undercure_fraction
1,101,5833.76,0.3996863577625539,0.3982197642326355,0.0,1.0
2,202,11667.52,0.3920717962307505,0.39981683492660525,0.0,1.0
3,303,17501.28,0.4000032134968849,0.39886548519134524,0.0,1.0
4,404,23335.04,0.4000876827700303,0.3992719739675522,0.0,1.0
5,505,29168.8,0.40014788431696374,0.3986061692237854,0.0,1.0
6,606,35002.56,0.4002105139269687,0.3990691751241684,0.0,1.0
7,707,40836.32,0.4004201867118415,0.39754462242126465,0.0,1.0
8,808,46670.08,0.4002888434299148,0.3991161406040192,0.0,1.0
9,1313,75838.88,0.40042636136652765,0.3988168954849243,0.0,1.0
10,1818,105007.68,0.4004725050283606,0.39898142516613005,0.0,1.0
11,2323,134176.47999999998,0.4005109574381155,0.39901781678199766,0.0,1.0
12,2828,163345.28,0.40053586299298,0.3990175127983093,0.0,1.0
13,3630,209668.8,0.400547687032006,0.3990175127983093,0.0,1.0
14,4840,279558.39999999997,0.40057537012602673,0.3990175724029541,0.0,1.0
15,6050,349448.0,0.40059187738363405,0.3990176320075989,0.0,1.0
16,7260,419337.6,0.40060290267316434,0.39901769161224365,0.0,1.0
17,8470,489227.2,0.4006107664305317,0.39901798963546753,0.0,1.0
