component_id,area_pixels,area_um2,mean_final_doc,p05_final_doc,cured_fraction,undercure_fraction
1,101,5833.76,0.8994769188437132,0.8987148404121399,1.0,0.0
2,202,11667.52,0.9000286344844516,0.8978403568267822,1.0,0.0
3,303,17501.28,0.9297748499184159,0.8971251308917999,1.0,0.0
4,404,23335.04,0.9473059754265417,0.8992950946092606,1.0,0.0
5,505,29168.8,0.9576061543851796,0.8996268510818481,1.0,0.0
6,606,35002.56,0.9643918411566479,0.8998127281665802,1.0,0.0
7,707,40836.32,0.9691998698080783,0.8998485803604126,1.0,0.0
8,808,46670.08,0.9727380813495947,0.899860143661499,1.0,0.0
9,1313,75838.88,0.9822465831418121,0.8998627662658691,1.0,0.0
10,1818,105007.68,0.9864591174196489,0.8998629361391067,1.0,0.0
11,2323,134176.47999999998,0.9888410527953494,0.8998631834983826,1.0,0.0
12,2828,163345.28,0.9903745108311719,0.8998627662658691,1.0,0.0
13,3630,209668.8,0.9911535426112246,0.8998610377311707,1.0,0.0
14,4840,279558.39999999997,0.9928050663352997,0.8998615145683289,1.0,0.0
15,6050,349448.0,0.9937959709049257,0.9000447928905487,1.0,0.0
16,7260,419337.6,0.9944565733848525,0.9967569708824158,1.0,0.0
17,8470,489227.2,0.9949284286890289,0.9984203577041626,1.0,0.0
