component_id,area_pixels,area_um2,mean_final_doc,p05_final_doc,cured_fraction,undercure_fraction
1,101,5833.76,0.0,0.0,0.0,1.0
2,202,11667.52,0.0,0.0,0.0,1.0
3,303,17501.28,0.8997582987983628,0.8974139153957367,1.0,0.0
4,404,23335.04,0.8998655148661963,0.8991346150636673,1.0,0.0
5,505,29168.8,0.8998257455259266,0.8957548379898072,1.0,0.0
6,606,35002.56,0.8999371848287362,0.8991267383098602,1.0,0.0
7,707,40836.32,0.8999717573633963,0.8985937297344208,1.0,0.0
8,808,46670.08,0.8999546125973805,0.899249741435051,1.0,0.0
9,1313,75838.88,0.8999692985145353,0.8992414236068725,1.0,0.0
10,1818,105007.68,0.8999760774495972,0.8992716640233993,1.0,0.0
11,2323,134176.47999999998,0.8999788329563313,0.899277663230896,1.0,0.0
12,2828,163345.28,0.899981086059372,0.8992793768644333,1.0,0.0
13,3630,209668.8,0.8999830913445181,0.8992823660373688,1.0,0.0
14,4840,279558.39999999997,0.8999834323963843,0.8992937803268433,1.0,0.0
15,6050,349448.0,0.8999840894710919,0.8993039280176163,1.0,0.0
16,7260,419337.6,0.8999846452277553,0.8993200957775116,1.0,0.0
17,8470,489227.2,0.8999846709731619,0.8993598222732544,1.0,0.0
