component_id,area_pixels,area_um2,mean_final_doc,p05_final_doc,cured_fraction,undercure_fraction
1,101,5833.76,0.0,0.0,0.0,1.0
2,202,11667.52,0.0,0.0,0.0,1.0
3,303,17501.28,0.0,0.0,0.0,1.0
4,404,23335.04,0.8999511519871136,0.8990974426269531,1.0,0.0
5,505,29168.8,0.8998719031267827,0.8974773764610291,1.0,0.0
6,606,35002.56,0.8999981816255613,0.8989460617303848,1.0,0.0
7,707,40836.32,0.9000767212271522,0.8977220296859741,1.0,0.0
8,808,46670.08,0.9000552830719711,0.8991029381752014,1.0,0.0
9,1313,75838.88,0.9000288538141098,0.8988522052764892,1.0,0.0
10,1818,105007.68,0.9000143944167985,0.8989824801683426,1.0,0.0
11,2323,134176.47999999998,0.9000111788036594,0.8990012645721436,1.0,0.0
12,2828,163345.28,0.9000085463281062,0.8990071833133697,1.0,0.0
13,3630,209668.8,0.9000066367226855,0.899015274643898,1.0,0.0
14,4840,279558.39999999997,0.9000024358965149,0.8990123867988586,1.0,0.0
15,6050,349448.0,0.9000004637931004,0.899013665318489,1.0,0.0
16,7260,419337.6,0.899998984299087,0.8990151792764663,1.0,0.0
17,8470,489227.2,0.8999979516621042,0.8991133242845535,1.0,0.0
