component_id,pixel_count,projector_mask_mean,local_normalized_intensity_mean,local_normalized_intensity_min,local_normalized_intensity_max
1,101,0.30236033490388703,0.15952795124290012,0.15048393607139587,0.16542960703372955
2,202,0.221461518492439,0.16845065281532778,0.16078925132751465,0.17372116446495056
3,303,0.2102272307174434,0.1682207337011992,0.15442705154418945,0.18561933934688568
4,404,0.19975582266798114,0.16949370558751692,0.15783871710300446,0.17821520566940308
5,505,0.19412941562362238,0.16973085671958357,0.15568621456623077,0.18322236835956573
6,606,0.1909139499117439,0.1700703964965178,0.15686742961406708,0.1799933910369873
7,707,0.18779430908310363,0.17026039060136722,0.1561969518661499,0.1822175681591034
8,808,0.18632126993287612,0.17043777145814187,0.15660133957862854,0.18083661794662476
9,1313,0.18087685338568343,0.1708350756290026,0.15650862455368042,0.18129684031009674
10,1818,0.17862516595306832,0.1710207813938852,0.15645785629749298,0.18136073648929596
11,2323,0.177320340511181,0.17112191362700174,0.1564912348985672,0.1813327819108963
12,2828,0.17648603638589297,0.1711916815716104,0.1564655601978302,0.18133531510829926
13,3630,0.1760506598725299,0.17122409547327636,0.15647609531879425,0.181330606341362
14,4840,0.17515440204234656,0.17129649232980634,0.15647414326667786,0.18133209645748138
15,6050,0.17461685458244372,0.17133934344880838,0.15647314488887787,0.18133199214935303
16,7260,0.17425820948068596,0.1713677931854055,0.15647359192371368,0.18133209645748138
17,8470,0.17400222617644628,0.17138820266639188,0.15647359192371368,0.181332066655159
