component_id,area_pixels,area_um2,mean_final_doc,p05_final_doc,cured_fraction,undercure_fraction
1,101,5833.76,0.3999561319256773,0.3965562582015991,0.0,1.0
2,202,11667.52,0.39229491884165474,0.3980106025934219,0.0,1.0
3,303,17501.28,0.4128562644763355,0.38696650266647337,0.0,1.0
4,404,23335.04,0.4003877983529969,0.3997136265039444,0.0,1.0
5,505,29168.8,0.4062753617173374,0.3729137539863586,0.0,1.0
6,606,35002.56,0.4008516626979652,0.3983031064271927,0.0,1.0
7,707,40836.32,0.40044335639459916,0.36883556842803955,0.0,1.0
8,808,46670.08,0.4137562387207947,0.36777529716491697,0.0,1.0
9,1313,75838.88,0.4759816085665805,0.3847294569015503,0.3541507996953541,0.6458492003046459
10,1818,105007.68,0.5244126891998043,0.3846424728631973,0.5115511551155115,0.4884488448844885
11,2323,134176.47999999998,0.5619388605005722,0.3837840437889099,0.6005165733964701,0.39948342660352987
12,2828,163345.28,0.5932478297085539,0.38290260434150697,0.6577086280056577,0.34229137199434234
13,3630,209668.8,0.6087952297909529,0.3829334259033203,0.6848484848484848,0.3151515151515152
14,4840,279558.39999999997,0.6498215055046987,0.3838208556175232,0.7471074380165289,0.2528925619834711
15,6050,349448.0,0.6744444002395819,0.387606680393219,0.7844628099173554,0.2155371900826446
16,7260,419337.6,0.6908555991803976,0.39759444892406465,0.809366391184573,0.190633608815427
17,8470,489227.2,0.7025784204884431,0.3976597785949707,0.8271546635182999,0.17284533648170008
