component_id,area_pixels,area_um2,mean_final_doc,p05_final_doc,cured_fraction,undercure_fraction
1,1,57.76,0.0,0.0,0.0,1.0
2,9,519.84,0.898915085527632,0.8952607274055481,1.0,0.0
3,25,1444.0,0.8996916460990906,0.8969327926635742,1.0,0.0
4,49,2830.24,0.8999092055826771,0.8976358413696289,1.0,0.0
5,81,4678.5599999999995,0.8999537928604785,0.8985550999641418,1.0,0.0
6,121,6988.96,0.8999757254419248,0.8988137245178223,1.0,0.0
7,169,9761.44,0.899982140261746,0.8989341139793396,1.0,0.0
8,225,12996.0,0.8999830028745863,0.8989100217819214,1.0,0.0
9,289,16692.64,0.8999870664933148,0.8994413852691651,1.0,0.0
10,361,20851.36,0.8999900672574452,0.8994404673576355,1.0,0.0
11,441,25472.16,0.8999910143767895,0.8996121287345886,1.0,0.0
12,961,55507.36,0.8999953531077699,0.8998785018920898,1.0,0.0
13,1681,97094.56,0.8999970988954978,0.899939239025116,1.0,0.0
14,2601,150233.76,0.8999979540459333,0.8999635577201843,1.0,0.0
15,3721,214924.96,0.8999984115722582,0.8999694585800171,1.0,0.0
16,5041,291168.16,0.899998669550074,0.8999700546264648,1.0,0.0
17,19881,1148326.56,0.8999993972876417,0.8999801278114319,1.0,0.0
18,14641,845664.1599999999,0.8999993037627081,0.899979829788208,1.0,0.0
19,10201,589209.76,0.8999991796610578,0.8999792337417603,1.0,0.0
