component_id,area_pixels,area_um2,mean_final_doc,p05_final_doc,cured_fraction,undercure_fraction
1,1,57.76,0.0,0.0,0.0,1.0
2,9,519.84,0.931247181362576,0.8881330251693725,1.0,0.0
3,25,1444.0,0.9293801641464233,0.8804105162620545,1.0,0.0
4,49,2830.24,0.9498213760706843,0.8894119739532471,1.0,0.0
5,81,4678.5599999999995,0.9600149032510357,0.8907845616340637,1.0,0.0
6,121,6988.96,0.9663747721467136,0.8895211815834045,1.0,0.0
7,169,9761.44,0.970894596280431,0.8893046498298645,1.0,0.0
8,225,12996.0,0.974392978615231,0.8912004470825196,1.0,0.0
9,289,16692.64,0.9771507671135107,0.8977168679237366,1.0,0.0
10,361,20851.36,0.9793629400287639,0.8977452516555786,1.0,0.0
11,441,25472.16,0.9811819147090522,0.8996540307998657,1.0,0.0
12,961,55507.36,0.9868811638124527,0.9000694155693054,1.0,0.0
13,1681,97094.56,0.9898692478316657,0.9000928401947021,1.0,0.0
14,2601,150233.76,0.9917083582434458,0.900101900100708,1.0,0.0
15,3721,214924.96,0.9929540395832805,0.9001262784004211,1.0,0.0
16,5041,291168.16,0.9938538214252762,0.901450514793396,1.0,0.0
17,19881,1148326.56,0.9966029444035135,0.9985746741294861,1.0,0.0
18,14641,845664.1599999999,0.9961394560311826,0.9985746741294861,1.0,0.0
19,10201,589209.76,0.995494200363894,0.9985745549201965,1.0,0.0
